Time, Lead, amilGFP, Total
17.400030, 1485, 1097, 1999
17.500031, 1495, 1107, 1999
17.600031, 1499, 1123, 1999
17.700031, 1503, 1140, 1999
17.800032, 1510, 1150, 1999
17.900032, 1520, 1160, 1999
18.000032, 1523, 1173, 1999
18.100033, 1529, 1178, 1999
18.200033, 1534, 1191, 1999
18.300034, 1532, 1205, 1999
18.400034, 1533, 1215, 1999
18.500034, 1545, 1225, 1999
18.600035, 1558, 1233, 1999
18.700035, 1561, 1244, 1999
18.800035, 1579, 1253, 1999
18.900036, 1579, 1262, 1999
19.000036, 1578, 1266, 1999
19.100037, 1584, 1278, 1999
19.200037, 1588, 1284, 1999
19.300037, 1600, 1291, 1999
19.400038, 1603, 1300, 1999
19.500038, 1617, 1304, 1999
19.600039, 1627, 1310, 1999
19.700039, 1635, 1315, 1999
19.800039, 1635, 1322, 1999
19.900040, 1642, 1329, 1999
20.000040, 1656, 1338, 1999
20.100040, 1660, 1342, 1999
20.200041, 1663, 1347, 1999
20.300041, 1666, 1353, 1999
20.400042, 1671, 1359, 1999
20.500042, 1683, 1362, 1999
20.600042, 1686, 1370, 1999
20.700043, 1697, 1376, 1999
20.800043, 1700, 1385, 1999
20.900043, 1708, 1390, 1999
21.000044, 1707, 1395, 1999
21.100044, 1714, 1399, 1999
21.200045, 1713, 1408, 1999
21.300045, 1718, 1415, 1999
21.400045, 1721, 1421, 1999
21.500046, 1727, 1433, 1999
21.600046, 1740, 1438, 1999
21.700047, 1743, 1444, 1999
21.800047, 1753, 1448, 1999
21.900047, 1758, 1450, 1999
22.000048, 1761, 1455, 1999
22.100048, 1767, 1461, 1999
22.200048, 1776, 1468, 1999
22.300049, 1783, 1471, 1999
22.400049, 1791, 1481, 1999
22.500050, 1795, 1486, 1999
22.600050, 1805, 1490, 1999
22.700050, 1810, 1493, 1999
22.800051, 1818, 1500, 1999
22.900051, 1819, 1508, 1999
23.000051, 1822, 1514, 1999
23.100052, 1833, 1521, 1999
23.200052, 1835, 1531, 1999
23.300053, 1839, 1539, 1999
23.400053, 1839, 1546, 1999
23.500053, 1847, 1551, 1999
23.600054, 1847, 1557, 1999
23.700054, 1855, 1561, 1999
23.800055, 1858, 1565, 1999
23.900055, 1870, 1568, 1999
24.000055, 1875, 1575, 1999
24.100056, 1878, 1579, 1999
24.200056, 1884, 1585, 1999
24.300056, 1888, 1592, 1999
24.400057, 1895, 1599, 1999
24.500057, 1900, 1604, 1999
24.600058, 1903, 1610, 1999
24.700058, 1907, 1614, 1999
24.800058, 1913, 1616, 1999
24.900059, 1921, 1623, 1999
25.000059, 1926, 1629, 1999
25.100060, 1928, 1637, 1999
25.200060, 1930, 1644, 1999
25.300060, 1935, 1651, 1999
25.400061, 1942, 1661, 1999
25.500061, 1942, 1665, 1999
25.600061, 1945, 1667, 1999
25.700062, 1949, 1672, 1999
25.800062, 1950, 1679, 1999
25.900063, 1956, 1691, 1999
26.000063, 1963, 1698, 1999
26.100063, 1967, 1704, 1999
26.200064, 1969, 1708, 1999
26.300064, 1972, 1714, 1999
26.400064, 1974, 1720, 1999
26.500065, 1978, 1729, 1999
26.600065, 1978, 1736, 1999
26.700066, 1978, 1744, 1999
26.800066, 1978, 1747, 1999
26.900066, 1979, 1755, 1999
27.000067, 1981, 1762, 1999
27.100067, 1984, 1771, 1999
27.200068, 1987, 1775, 1999
27.300068, 1990, 1783, 1999
27.400068, 1990, 1789, 1999
27.500069, 1993, 1792, 1999
27.600069, 1994, 1796, 1999
27.700069, 1995, 1799, 1999
27.800070, 1995, 1805, 1999
27.900070, 1996, 1811, 1999
28.000071, 1997, 1818, 1999
28.100071, 1997, 1825, 1999
28.200071, 1997, 1829, 1999
28.300072, 1997, 1834, 1999
28.400072, 1997, 1836, 1999
28.500072, 1997, 1842, 1999
28.600073, 1997, 1847, 1999
28.700073, 1997, 1851, 1999
28.800074, 1997, 1854, 1999
28.900074, 1998, 1858, 1999
29.000074, 1998, 1865, 1999
29.100075, 1998, 1871, 1999
29.200075, 1998, 1875, 1999
29.300076, 1998, 1880, 1999
29.400076, 1998, 1884, 1999
29.500076, 1998, 1891, 1999
29.600077, 1998, 1897, 1999
